time,value,group,percentage
2008,"194,789,342.00",B,0.06867881
2008,,C,0
2008,,D,0
2008,,E,0
2008,"844,439,880.00",F,0.297732542
2008,,G,0
2008,"1,102,281,289.73",H,0.388642245
2009,"745,939,568.00",A,0.243471399
2009,"224,007,104.00",B,0.073114935
2009,,C,0
2009,,D,0
2009,,E,0
2009,"901,607,102.00",F,0.294280598
2009,,G,0
2009,"1,192,212,941.47",H,0.389133068
2010,"824,785,442.74",A,0.283121238
2010,"256,244,825.59",B,0.087960272
2010,,C,0
2010,,D,0
2010,,E,0
2010,"891,579,886.21",F,0.306049535
2010,,G,0
2010,"940,578,023.37",H,0.322868955
2011,"1,006,176,029.86",A,0.32550151
2011,"295,974,712.80",B,0.095748868
2011,,C,0
2011,,D,0
2011,,E,0
2011,"888,451,879.13",F,0.287417331
2011,,G,0
2011,"900,553,632.73",H,0.291332291
2012,"1,172,127,631.08",A,0.355760447
2012,"350,636,007.39",B,0.106423925
2012,,C,0
2012,,D,0
2012,,E,0
2012,"905,516,659.46",F,0.274839533
2012,,G,0
2012,"866,430,066.13",H,0.262976095
2013,"1,197,413,951.37",A,0.333353114
2013,"391,314,328.19",B,0.108939644
2013,,C,0
2013,,D,0
2013,,E,0
2013,"961,672,987.67",F,0.267724194
2013,,G,0
2013,"1,041,627,423.82",H,0.289983047
2014,"1,366,289,537.60",A,0.347315959
2014,"430,550,261.24",B,0.109447502
2014,,C,0
2014,,D,0
2014,,E,0
2014,"983,635,069.75",F,0.250043748
2014,,G,0
2014,"1,153,377,012.94",H,0.293192791
2015,"1,444,789,929.62",A,0.346171615
2015,"545,861,741.77",B,0.130788454
2015,,C,0
2015,,D,0
2015,,E,0
2015,"1,093,918,144.02",F,0.262102748
2015,,G,0
2015,"1,089,053,518.94",H,0.260937184
2016,"1,637,428,985.33",A,0.371665645
2016,"631,257,600.51",B,0.143283627
2016,,C,0
2016,,D,0
2016,,E,0
2016,"1,223,001,584.70",F,0.277598404
2016,,G,0
2016,"913,962,464.96",H,0.207452324
2017,"1,866,641,838.29",A,0.378783093
2017,"639,005,336.26",B,0.129668377
2017,,C,0
2017,,D,0
2017,,E,0
2017,"1,354,399,795.51",F,0.274837804
2017,,G,0
2017,"1,067,949,752.00",H,0.216710727
2018,"2,069,973,644.25",A,0.397271386
2018,"706,858,075.62",B,0.1356609
2018,,C,0
2018,,D,0
2018,,E,0
2018,"1,470,772,205.59",F,0.282272054
2018,,G,0
2018,"962,873,645.00",H,0.184795661
2019,"2,087,013,220.28",A,0.371645019
2019,"785,395,782.22",B,0.139859407
2019,,C,0
2019,,D,0
2019,,E,0
2019,"1,734,285,763.03",F,0.308833054
2019,,G,0
2019,"1,008,914,516.62",H,0.17966252
2020,"2,278,269,892.93",A,0.359361405
2020,"1,096,365,388.60",B,0.172934474
2020,,C,0
2020,,D,0
2020,,E,0
2020,"1,824,876,711.44",F,0.287845729
2020,,G,0
2020,"1,140,261,450.00",H,0.179858391
